state,code,population
Acre,AC,894470
Alagoas,AL,3351543
Amapá,AP,861773
Amazonas,AM,4207714
Bahia,BA,14930634
Ceará,CE,9187103
Distrito Federal,DF,3055149
Espírito Santo,ES,4064052
Goiás,GO,7113540
Maranhão,MA,7114598
Mato Grosso,MT,3526220
Mato Grosso do Sul,MS,2809394
Minas Gerais,MG,21292666
Pará,PA,8690745
Paraíba,PB,4039277
Paraná,PR,11516840
Pernambuco,PE,9616621
Piauí,PI,3281480
Rio de Janeiro,RJ,17366189
Rio Grande do Norte,RN,3534165
Rio Grande do Sul,RS,11422973
Rondônia,RO,1796460
Roraima,RR,631181
Santa Catarina,SC,7252502
São Paulo,SP,46289333
Sergipe,SE,2318822
Tocantins,TO,1590248